-1.0	32
-0.99	12
-0.98	7
-0.97	9
-0.96	7
-0.95	1
-0.94	6
-0.93	5
-0.92	9
-0.91	3
-0.9	4
-0.89	6
-0.88	0
-0.87	4
-0.86	5
-0.85	6
-0.84	5
-0.83	4
-0.82	10
-0.81	6
-0.8	7
-0.79	6
-0.78	12
-0.77	10
-0.76	7
-0.75	2
-0.74	6
-0.73	5
-0.72	9
-0.71	7
-0.7	11
-0.69	8
-0.68	10
-0.67	16
-0.66	15
-0.65	12
-0.64	12
-0.63	16
-0.62	21
-0.61	22
-0.6	27
-0.59	42
-0.58	40
-0.57	34
-0.56	47
-0.55	57
-0.54	93
-0.53	124
-0.52	234
-0.51	410
-0.5	672
-0.49	1074
-0.48	1662
-0.47	2433
-0.46	3446
-0.45	4611
-0.44	5851
-0.43	7121
-0.42	8187
-0.41	9036
-0.4	9588
-0.39	9459
-0.38	9031
-0.37	8405
-0.36	7588
-0.35	6660
-0.34	5758
-0.33	4486
-0.32	3803
-0.31	3097
-0.3	2490
-0.29	2033
-0.28	1571
-0.27	1368
-0.26	997
-0.25	857
-0.24	699
-0.23	591
-0.22	469
-0.21	396
-0.2	327
-0.19	296
-0.18	226
-0.17	212
-0.16	181
-0.15	172
-0.14	139
-0.13	131
-0.12	143
-0.11	103
-0.1	97
-0.09	94
-0.08	81
-0.07	88
-0.06	74
-0.05	81
-0.04	70
-0.03	66
-0.02	61
-0.01	55
-0.0	60
0.01	40
0.02	63
0.03	59
0.04	46
0.05	48
0.06	52
0.07	30
0.08	38
0.09	44
0.1	30
0.11	42
0.12	31
0.13	39
0.14	43
0.15	35
0.16	26
0.17	32
0.18	42
0.19	33
0.2	46
0.21	37
0.22	36
0.23	34
0.24	31
0.25	31
0.26	22
0.27	36
0.28	34
0.29	30
0.3	21
0.31	36
0.32	13
0.33	32
0.34	23
0.35	30
0.36	27
0.37	30
0.38	30
0.39	24
0.4	28
0.41	23
0.42	20
0.43	18
0.44	33
0.45	16
0.46	24
0.47	27
0.48	18
0.49	11
0.5	19
0.51	16
0.52	24
0.53	23
0.54	30
0.55	22
0.56	21
0.57	14
0.58	22
0.59	17
0.6	27
0.61	14
0.62	13
0.63	16
0.64	18
0.65	16
0.66	26
0.67	20
0.68	14
0.69	12
0.7	18
0.71	17
0.72	13
0.73	22
0.74	12
0.75	16
0.76	18
0.77	9
0.78	14
0.79	21
0.8	15
0.81	10
0.82	14
0.83	22
0.84	15
0.85	14
0.86	11
0.87	15
0.88	11
0.89	9
0.9	7
0.91	10
0.92	21
0.93	12
0.94	12
0.95	12
0.96	11
0.97	27
0.98	17
0.99	24
1.0	5967
