-1.0	12
-0.99	6
-0.98	1
-0.97	3
-0.96	1
-0.95	3
-0.94	1
-0.93	5
-0.92	4
-0.91	1
-0.9	1
-0.89	1
-0.88	4
-0.87	4
-0.86	2
-0.85	2
-0.84	1
-0.83	3
-0.82	5
-0.81	4
-0.8	7
-0.79	2
-0.78	3
-0.77	0
-0.76	3
-0.75	1
-0.74	6
-0.73	3
-0.72	6
-0.71	8
-0.7	3
-0.69	8
-0.68	2
-0.67	7
-0.66	5
-0.65	3
-0.64	3
-0.63	9
-0.62	5
-0.61	4
-0.6	10
-0.59	14
-0.58	16
-0.57	21
-0.56	19
-0.55	25
-0.54	30
-0.53	41
-0.52	89
-0.51	136
-0.5	253
-0.49	355
-0.48	606
-0.47	866
-0.46	1250
-0.45	1773
-0.44	2428
-0.43	2840
-0.42	3320
-0.41	3929
-0.4	4194
-0.39	4330
-0.38	4062
-0.37	4017
-0.36	3657
-0.35	3157
-0.34	2920
-0.33	2420
-0.32	2080
-0.31	1735
-0.3	1419
-0.29	1088
-0.28	906
-0.27	771
-0.26	629
-0.25	496
-0.24	464
-0.23	401
-0.22	272
-0.21	230
-0.2	207
-0.19	161
-0.18	122
-0.17	153
-0.16	133
-0.15	101
-0.14	71
-0.13	75
-0.12	63
-0.11	64
-0.1	40
-0.09	46
-0.08	37
-0.07	38
-0.06	31
-0.05	36
-0.04	29
-0.03	33
-0.02	26
-0.01	23
-0.0	35
0.01	20
0.02	22
0.03	30
0.04	22
0.05	17
0.06	15
0.07	16
0.08	22
0.09	13
0.1	26
0.11	15
0.12	15
0.13	9
0.14	20
0.15	17
0.16	13
0.17	11
0.18	9
0.19	12
0.2	11
0.21	17
0.22	11
0.23	11
0.24	10
0.25	15
0.26	9
0.27	13
0.28	7
0.29	7
0.3	8
0.31	10
0.32	8
0.33	15
0.34	6
0.35	13
0.36	9
0.37	14
0.38	6
0.39	8
0.4	8
0.41	12
0.42	7
0.43	10
0.44	4
0.45	8
0.46	6
0.47	8
0.48	11
0.49	15
0.5	13
0.51	6
0.52	11
0.53	6
0.54	8
0.55	5
0.56	4
0.57	5
0.58	4
0.59	26
0.6	1
0.61	0
0.62	4
0.63	4
0.64	7
0.65	9
0.66	1
0.67	2
0.68	2
0.69	4
0.7	3
0.71	7
0.72	9
0.73	6
0.74	5
0.75	5
0.76	9
0.77	4
0.78	6
0.79	7
0.8	7
0.81	7
0.82	8
0.83	7
0.84	4
0.85	2
0.86	5
0.87	1
0.88	4
0.89	3
0.9	7
0.91	8
0.92	1
0.93	7
0.94	5
0.95	6
0.96	2
0.97	5
0.98	5
0.99	11
1.0	2571
