-1.0	0.0	1
-0.004	0.253	2
-0.093	0.383	9
-0.127	0.211	14
-0.167	0.258	30
-0.16	0.376	19
-0.196	0.332	28
-0.111	0.225	25
-0.164	0.27	30
-0.12	0.261	37
-0.121	0.313	41
-0.136	0.268	47
-0.096	0.209	58
-0.073	0.19	42
-0.079	0.248	68
-0.061	0.253	63
-0.079	0.2	77
-0.054	0.255	71
-0.014	0.184	104
-0.015	0.188	118
-0.046	0.193	160
-0.024	0.203	174
-0.018	0.2	347
0.004	0.165	511
0.003	0.125	1277
0.008	0.115	2536
0.01	0.126	6779
0.008	0.121	10675
0.006	0.109	23226
0.003	0.107	29954
0.0	0.105	53688
-0.002	0.103	59991
-0.003	0.104	91824
-0.004	0.108	90061
-0.004	0.105	127087
-0.001	0.114	118322
0.007	0.126	158778
0.026	0.165	140696
0.053	0.213	181565
0.065	0.236	149428
0.034	0.192	168714
0.016	0.164	128439
0.005	0.138	147148
0.003	0.133	112120
0.003	0.134	125885
0.005	0.14	93979
0.006	0.142	102359
0.005	0.142	73698
0.002	0.142	79684
0.001	0.148	55419
-0.001	0.154	57584
-0.009	0.158	39606
-0.02	0.161	39989
-0.031	0.161	27123
-0.04	0.166	25953
-0.052	0.166	21660
-0.064	0.168	20542
-0.073	0.168	15961
-0.081	0.172	13865
-0.085	0.182	10616
-0.094	0.179	11325
-0.093	0.198	7941
-0.102	0.202	8242
-0.12	0.184	5511
-0.112	0.21	5578
-0.119	0.217	3841
-0.121	0.237	3692
-0.126	0.248	2308
-0.122	0.266	2155
-0.138	0.255	1364
-0.13	0.29	1447
-0.153	0.278	867
-0.153	0.286	923
-0.144	0.302	599
-0.131	0.34	611
-0.143	0.34	416
-0.142	0.329	410
-0.152	0.321	228
-0.12	0.36	239
-0.098	0.387	108
0.079	0.484	110
0.136	0.514	56
0.067	0.521	46
-0.056	0.411	13
-0.268	0.049	6
-0.354	0.055	3
-0.511	0.407	3
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.071	0.0	1
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
