-0.475	0.538	32
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
-0.291	0.0	1
0.0	0.0	0
0.0	0.0	0
0.0	0.0	1
-0.431	0.798	6
-0.478	0.677	2
-0.121	0.355	6
-0.98	0.024	3
-0.4	0.548	5
-0.727	0.319	8
-0.891	0.137	7
-0.706	0.376	14
-0.631	0.435	8
-0.658	0.565	13
-0.391	0.749	28
-0.619	0.559	19
-0.617	0.637	30
-0.68	0.505	58
-0.739	0.379	215
-0.755	0.356	509
-0.745	0.317	1575
-0.703	0.316	3035
-0.652	0.316	7912
-0.591	0.329	12041
-0.536	0.32	25131
-0.475	0.322	32890
-0.406	0.328	62024
-0.332	0.342	77140
-0.252	0.353	132115
-0.196	0.339	136072
-0.153	0.31	188276
-0.109	0.282	168414
-0.056	0.266	221666
-0.007	0.252	191769
0.034	0.23	232195
0.079	0.222	179203
0.121	0.213	192174
0.162	0.205	137612
0.202	0.198	140709
0.242	0.192	95864
0.28	0.184	94768
0.314	0.177	62075
0.34	0.165	58966
0.369	0.158	38484
0.395	0.152	37953
0.42	0.147	25634
0.445	0.139	24945
0.463	0.139	16531
0.48	0.127	14235
0.496	0.131	11103
0.513	0.143	9000
0.528	0.144	5794
0.533	0.156	4034
0.557	0.164	2723
0.56	0.17	2441
0.574	0.16	1660
0.581	0.217	1494
0.594	0.226	983
0.598	0.222	991
0.624	0.198	737
0.634	0.197	631
0.58	0.337	492
0.639	0.244	408
0.619	0.21	301
0.632	0.196	274
0.631	0.237	231
0.62	0.213	157
0.62	0.221	125
0.64	0.213	104
0.645	0.256	82
0.593	0.328	51
0.546	0.44	42
0.508	0.416	44
0.573	0.369	21
0.315	0.636	21
0.355	0.751	4
0.394	0.571	10
-0.285	0.625	6
0.63	0.135	5
-0.373	0.0	1
0.653	0.0	1
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
-1.0	0.0	1
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
-0.112	0.711	24
