-0.353	0.661	32
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
-0.132	0.0	1
0.0	0.0	0
0.0	0.0	0
0.0	0.0	1
-0.025	0.865	6
-0.313	0.442	2
-0.028	0.589	6
-0.352	0.449	3
0.284	0.725	5
-0.182	0.263	8
-0.212	0.28	7
-0.275	0.489	14
-0.284	0.679	8
-0.156	0.584	13
-0.284	0.685	28
-0.041	0.586	19
-0.169	0.541	30
-0.074	0.395	58
-0.098	0.296	214
-0.101	0.247	506
-0.105	0.222	1574
-0.099	0.228	3034
-0.098	0.231	7910
-0.089	0.243	12039
-0.086	0.241	25128
-0.076	0.25	32885
-0.054	0.265	61959
-0.019	0.29	76879
0.013	0.308	130605
0.021	0.31	134762
0.01	0.294	187097
-0.003	0.277	167765
-0.007	0.266	220215
-0.003	0.259	190532
0.003	0.247	231577
0.013	0.247	178888
0.019	0.244	191927
0.027	0.243	137396
0.039	0.243	140473
0.053	0.245	95687
0.064	0.244	94624
0.076	0.243	61975
0.075	0.229	58970
0.085	0.225	38498
0.092	0.219	37981
0.106	0.214	25699
0.118	0.213	25084
0.125	0.208	16799
0.133	0.197	14955
0.142	0.197	12590
0.158	0.201	11585
0.17	0.199	8847
0.181	0.188	7223
0.2	0.201	5483
0.206	0.187	5597
0.225	0.181	3831
0.243	0.201	3595
0.261	0.208	2379
0.279	0.208	2335
0.308	0.221	1494
0.319	0.207	1315
0.316	0.263	954
0.334	0.226	822
0.316	0.187	596
0.332	0.177	558
0.338	0.208	427
0.337	0.159	328
0.353	0.157	214
0.334	0.203	178
0.362	0.193	134
0.398	0.194	83
0.284	0.349	60
0.351	0.352	50
0.335	0.186	28
0.079	0.435	23
0.155	0.57	6
0.025	0.577	10
-0.177	0.47	6
0.206	0.153	5
-0.275	0.0	1
0.385	0.0	1
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
-0.489	0.0	1
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
0.0	0.0	0
-0.292	0.762	24
