-0.251	0.673	1921
-0.592	0.513	12
-0.559	0.381	16
-0.271	0.561	28
-0.271	0.537	49
-0.249	0.55	67
-0.342	0.41	108
-0.365	0.406	171
-0.257	0.459	214
-0.264	0.414	321
-0.226	0.402	474
-0.226	0.403	760
-0.22	0.38	1258
-0.191	0.305	1817
-0.169	0.329	3230
-0.142	0.298	5143
-0.121	0.274	8392
-0.118	0.282	14378
-0.106	0.262	22460
-0.088	0.261	34601
-0.085	0.261	52839
-0.077	0.253	76589
-0.071	0.252	108620
-0.064	0.254	149708
-0.058	0.257	198637
-0.053	0.261	256548
-0.045	0.264	322535
-0.039	0.267	397750
-0.032	0.271	478370
-0.025	0.277	567625
-0.018	0.281	657184
-0.013	0.283	749055
-0.008	0.284	839379
-0.006	0.284	927783
-0.002	0.282	1001091
-0.001	0.279	1068649
0.001	0.276	1121552
0.003	0.272	1158191
0.005	0.27	1183058
0.009	0.267	1182363
0.01	0.265	1169567
0.013	0.26	1141685
0.016	0.257	1102891
0.019	0.253	1060432
0.023	0.25	1012119
0.028	0.246	962059
0.034	0.244	906919
0.04	0.242	847495
0.048	0.24	780257
0.056	0.238	711005
0.061	0.243	638389
0.071	0.237	557643
0.077	0.237	478909
0.083	0.237	406956
0.089	0.235	341245
0.094	0.232	282593
0.098	0.231	234880
0.103	0.228	193586
0.108	0.223	159111
0.115	0.219	132883
0.117	0.221	111249
0.128	0.214	92624
0.137	0.222	78059
0.149	0.218	64394
0.16	0.225	53294
0.17	0.232	43784
0.185	0.238	35021
0.18	0.282	29158
0.209	0.256	22795
0.22	0.264	18209
0.225	0.271	14533
0.218	0.282	11859
0.231	0.27	9291
0.216	0.267	7513
0.223	0.265	6324
0.177	0.33	5685
0.211	0.263	4591
0.205	0.269	3906
0.193	0.267	3387
0.2	0.264	2847
0.153	0.317	2477
0.174	0.243	1896
0.155	0.277	1502
0.129	0.3	1248
0.153	0.245	855
0.111	0.28	640
0.059	0.332	495
0.099	0.284	268
-0.028	0.406	208
-0.083	0.412	127
-0.06	0.407	79
-0.059	0.329	39
-0.234	0.422	23
-0.12	0.504	28
0.004	0.438	14
-0.36	0.43	7
0.387	0.0	1
-0.298	0.619	6
-0.92	0.0	1
0.0	0.0	0
-0.262	0.665	984
